stock_id,year,month,price_high,price_low,price_open,price_close,volume
1,2013,2,15.07,13.42,14.63,13.43,157395500
1,2013,3,17.21,13.95,13.32,16.97,187166700
1,2013,4,17.02,15.71,16.54,16.9,152135500
1,2013,5,19.38,16.98,16.6,17.57,127394000
1,2013,6,17.78,16.14,17.4,16.42,104045500
1,2013,7,19.33,16.79,16.48,19.35,117959400
1,2013,8,19.44,15.53,19.24,16.16,218655000
1,2013,9,19.17,16.64,16.11,18.96,90979900
1,2013,10,22.76,19.85,18.98,21.97,125759100
1,2013,11,24.55,22.47,21.6,23.48,245060000
1,2013,12,26.63,22.43,23.01,25.25,326975115
1,2014,1,33.44,25.82,25.06,33.55,290486865
1,2014,2,37.12,33.97,33.05,36.93,197650111
1,2014,3,39.17,36.4,35.32,36.6,194563054
1,2014,4,38.24,34.33,36.85,35.07,256362862
1,2014,5,39.89,36.7,35.47,40.16,193186673
1,2014,6,44.3,40.92,40.0,42.96,335566049
1,2014,7,44.0,39.4,43.05,38.85,265245222
1,2014,8,40.96,37.38,38.43,38.88,178964756
1,2014,9,39.73,35.75,38.89,35.48,200594452
1,2014,10,41.1,31.39,33.85,41.35,473748341
1,2014,11,47.0,42.1,41.43,48.53,222785374
1,2014,12,53.9,48.47,47.36,53.63,315150645
1,2015,1,55.89,49.97,53.07,49.08,276821250
1,2015,2,51.75,47.23,46.21,47.9,208335720
1,2015,3,55.47,47.58,47.85,52.78,396784202
1,2015,4,52.68,47.78,50.11,48.28,235685115
1,2015,5,49.45,42.45,48.51,42.37,256703007
1,2015,6,43.35,40.09,42.09,39.94,301070219
1,2015,7,43.0,39.8,37.8,40.1,256056644
1,2015,8,44.06,39.01,40.21,38.98,216683826
1,2015,9,43.72,39.68,38.5,38.83,221864055
1,2015,10,46.41,38.77,37.84,46.22,232657041
1,2015,11,47.02,41.5,46.2,41.26,138401629
1,2015,12,45.35,42.31,41.3,42.35,170663254
1,2016,1,42.17,39.09,40.3,38.99,237116073
1,2016,2,41.5,36.16,38.63,41.0,184042964
1,2016,3,43.32,41.34,41.06,41.01,164028827
1,2016,4,41.36,35.83,39.27,34.69,206584339
1,2016,5,34.99,31.84,34.4,31.91,204488301
1,2016,6,32.99,26.85,31.73,28.31,274277522
1,2016,7,36.5,28.4,28.2,35.5,248243493
1,2016,8,36.97,33.77,35.1,36.3,181410357
1,2016,9,39.0,35.15,35.88,36.61,162150327
1,2016,10,40.93,37.75,36.33,40.6,176375805
1,2016,11,46.64,40.22,39.56,46.44,148409350
1,2016,12,49.35,46.54,45.66,46.69,122810423
1,2017,1,50.0,44.84,46.13,44.25,147289715
1,2017,2,47.59,44.52,43.91,46.36,110361270
1,2017,3,46.79,40.55,46.7,42.3,177947053
1,2017,4,46.8,41.96,41.62,42.62,136321182
1,2017,5,48.32,42.96,42.01,48.41,130919056
1,2017,6,51.61,48.64,48.3,50.32,133266730
1,2017,7,54.21,50.34,50.37,50.44,111659707
1,2017,8,51.13,44.15,50.32,44.74,122959810
1,2017,9,47.84,44.11,44.65,47.49,131325139
1,2017,10,53.1,47.6,47.22,46.82,118566288
1,2017,11,49.76,45.86,47.37,50.49,73185721
1,2017,12,52.8,49.81,48.69,52.03,80012095
1,2018,1,58.79,52.64,51.9,54.32,121867885
1,2018,2,54.0,51.5,53.59,51.4,27239034
2,2013,2,68.5,63.98,66.89,63.06,1611612359
2,2013,3,66.49,61.17,61.43,63.24,2288916525
2,2013,4,63.13,57.09,61.11,63.25,2733426556
2,2013,5,66.42,62.55,62.06,64.25,2359987959
2,2013,6,64.75,57.18,63.21,56.65,1753831331
2,2013,7,65.0,58.9,57.32,64.65,1632581104
2,2013,8,72.82,65.26,64.75,69.6,2011059869
2,2013,9,72.31,65.67,69.62,68.11,2153904130
2,2013,10,76.61,69.23,68.34,74.67,1958084716
2,2013,11,78.5,74.35,73.69,79.44,1306486944
2,2013,12,81.81,78.57,78.69,80.15,1764561113
2,2014,1,79.38,71.65,78.86,71.51,2203698567
2,2014,2,78.0,72.53,71.33,75.18,1473553403
2,2014,3,78.07,75.71,74.69,76.68,1251732447
2,2014,4,84.82,74.44,76.68,84.3,1608767685
2,2014,5,91.14,83.75,83.77,90.43,1434124272
2,2014,6,94.73,90.69,88.93,92.93,1207232813
2,2014,7,99.33,94.06,93.13,95.6,1035409432
2,2014,8,102.86,94.82,94.81,102.5,937029111
2,2014,9,103.1,99.31,102.72,100.75,1527937649
2,2014,10,108.01,97.72,98.7,108.0,1360280122
2,2014,11,119.27,108.79,108.01,118.93,820471729
2,2014,12,118.81,109.84,111.27,110.38,1073775862
2,2015,1,118.4,107.43,107.35,117.16,1305263613
2,2015,2,132.94,119.09,116.08,128.46,1136535493
2,2015,3,129.25,124.7,128.3,124.43,1138641910
2,2015,4,134.46,125.12,123.1,125.15,996135511
2,2015,5,132.6,126.08,125.3,130.28,954152126
2,2015,6,131.2,126.12,130.05,125.42,878606841
2,2015,7,132.85,122.57,125.99,121.3,1058280697
2,2015,8,121.5,108.8,117.52,112.76,1607287267
2,2015,9,116.58,110.45,107.36,110.3,1206547333
2,2015,10,120.99,109.62,107.31,119.5,1113703829
2,2015,11,123.13,114.24,119.61,118.3,750640573
2,2015,12,118.98,107.03,116.86,105.26,922626259
2,2016,1,105.75,94.52,102.0,97.34,1271848087
2,2016,2,98.84,94.5,95.4,96.69,810862547
2,2016,3,109.72,100.77,97.42,108.99,746136466
2,2016,4,112.11,94.72,108.2,93.74,872383623
2,2016,5,99.68,91.67,92.4,99.86,901144768
2,2016,6,99.25,93.05,98.33,95.6,780630235
2,2016,7,104.27,95.4,95.33,104.21,685779613
2,2016,8,109.63,105.84,104.41,106.1,630128567
2,2016,9,115.19,105.72,105.62,113.05,970096738
2,2016,10,118.18,113.05,112.28,113.54,686914224
2,2016,11,113.46,107.68,110.53,110.52,721554967
2,2016,12,117.52,110.03,109.03,115.82,608771645
2,2017,1,122.14,116.33,114.76,121.35,563331160
2,2017,2,137.38,129.19,127.01,136.99,574968547
2,2017,3,144.19,138.79,137.59,143.66,562091214
2,2017,4,144.47,141.88,143.05,143.65,373290435
2,2017,5,156.01,147.14,144.96,152.76,654022901
2,2017,6,155.25,144.48,152.22,144.02,684178036
2,2017,7,153.75,143.5,143.1,148.73,422011831
2,2017,8,163.8,157.21,156.67,164.0,646894310
2,2017,9,164.8,151.83,163.63,154.12,680442092
2,2017,10,167.9,153.86,152.72,169.04,504291118
2,2017,11,175.11,168.5,165.61,171.85,600366443
2,2017,12,175.03,170.2,168.5,169.23,531184058
2,2018,1,179.37,167.37,169.26,167.43,659679440
2,2018,2,167.16,163.4,166.76,159.54,326415552
3,2013,2,80.42,77.58,78.01,76.34,13528238
3,2013,3,81.34,76.66,75.62,82.65,19092744
3,2013,4,83.04,79.86,81.66,83.88,20008691
3,2013,5,87.25,82.89,83.44,81.52,13256965
3,2013,6,84.32,80.75,80.3,81.17,12641823
3,2013,7,84.02,82.2,81.46,82.49,12108439
3,2013,8,84.28,81.13,82.47,80.07,16011134
3,2013,9,81.6,79.96,79.41,82.68,11775749
3,2013,10,102.67,81.41,82.6,99.18,24554028
3,2013,11,102.26,97.96,97.27,101.01,13039177
3,2013,12,110.55,103.4,100.94,110.68,18666034
3,2014,1,119.73,111.88,109.29,114.81,16162790
3,2014,2,128.31,112.11,109.58,127.36,22294221
3,2014,3,128.33,124.51,125.13,126.5,16189110
3,2014,4,127.45,118.49,126.6,121.29,14865647
3,2014,5,127.78,121.25,120.76,124.17,17926587
3,2014,6,133.67,124.49,123.2,134.92,16626697
3,2014,7,135.86,124.5,134.35,121.11,13998424
3,2014,8,137.59,124.28,121.17,136.42,15936143
3,2014,9,138.42,130.37,137.01,130.3,12613145
3,2014,10,147.25,131.44,129.08,146.96,19707241
3,2014,11,149.27,145.18,147.11,147.08,17437905
3,2014,12,161.7,147.77,146.13,159.28,16632736
3,2015,1,163.36,150.2,157.47,159.0,16230522
3,2015,2,163.5,151.38,153.29,154.93,21953387
3,2015,3,155.39,147.65,153.93,149.69,19275738
3,2015,4,153.65,145.18,143.45,143.0,21068725
3,2015,5,160.07,144.84,142.63,153.22,23058203
3,2015,6,164.98,154.89,152.71,159.29,15682123
3,2015,7,173.44,162.66,160.31,174.21,30088761
3,2015,8,188.49,172.58,172.22,175.25,27556690
3,2015,9,183.49,172.31,171.47,189.53,18375750
3,2015,10,197.66,189.91,188.1,198.43,16752134
3,2015,11,201.24,163.86,197.98,162.73,26161504
3,2015,12,162.99,150.05,161.17,150.51,30739552
3,2016,1,152.96,143.0,147.51,152.05,21189227
3,2016,2,154.38,141.4,150.68,148.44,24174155
3,2016,3,162.48,152.65,149.29,160.34,15608052
3,2016,4,161.87,156.5,159.33,156.1,12810314
3,2016,5,156.99,144.22,152.69,153.84,28353026
3,2016,6,161.02,150.72,151.93,161.63,26788908
3,2016,7,170.0,161.94,161.78,169.86,16241025
3,2016,8,170.5,157.86,168.07,157.38,25966879
3,2016,9,160.67,146.57,157.75,149.12,23733888
3,2016,10,149.39,140.81,146.56,140.08,18407333
3,2016,11,172.34,137.83,138.54,169.72,32188993
3,2016,12,176.41,171.08,167.32,169.12,15394303
3,2017,1,174.42,164.68,169.31,164.24,17336738
3,2017,2,165.23,157.39,159.7,156.61,27618019
3,2017,3,158.59,148.77,155.64,148.26,22654587
3,2017,4,148.4,141.48,143.56,142.14,19523127
3,2017,5,150.9,134.07,140.36,133.63,36336248
3,2017,6,137.0,117.82,133.75,116.59,35920423
3,2017,7,117.45,101.91,116.27,112.01,39701377
3,2017,8,114.27,92.85,113.46,97.9,64524714
3,2017,9,100.09,94.97,97.65,99.2,36524962
3,2017,10,99.58,82.13,98.39,81.74,42923860
3,2017,11,99.58,80.62,80.68,101.0,47199722
3,2017,12,107.1,98.37,97.89,99.69,26814240
3,2018,1,123.52,107.66,99.71,116.99,30766650
